position_name,employer,comp_text,duties_text,must_have_text,nice_to_have_text,emp_type,posting_ref
QAエンジニア,合同会社阿部運輸,月給40万〜54万円+賞与年2回（予定年収481万〜652万円）,職務内容：QAエンジニアに関する業務全般。,必須要件：実務経験3年以上,尚可条件：Python実務経験、AWSまたはGCP実務経験,正社員,53-0
SRE,株式会社阿部情報,月給64万円（賞与なし）,職務内容：SREに関する業務全般。,応募資格：実務経験5年以上+チームリード経験,尚可条件：SQL実務経験、チームでの開発経験、Python実務経験、上流工程（要件定義）経験,正社員,40-3
ソリューションアーキテクト,株式会社太田建設,月給42万円（賞与なし）,仕事内容：ソリューションアーキテクトに関する業務全般。,必須要件：実務経験3年以上,求める経験・スキル：Python実務経験、チームでの開発経験,正社員,151-2
社内SE,株式会社中島建設,年収367万〜537万円（年俸制）,仕事内容：社内SEに関する業務全般。,応募資格：実務経験1年以上,歓迎要件：SQL実務経験、Python実務経験、チームでの開発経験,正社員,0-0
Corporate SRE,高橋鉱業株式会社,月給63万〜77万円+賞与年2回（予定年収754万〜921万円）,職務内容：Corporate SREに関する業務全般。,応募資格：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）／実務経験3年以上,尚可条件：チームでの開発経験、AWSまたはGCP実務経験、SQL実務経験,正社員,23-3
アプリケーションエンジニア,森通信株式会社,月給40万〜57万円+賞与年2回（予定年収476万〜686万円）,職務内容：アプリケーションエンジニアに関する業務全般。,応募資格：SQL・データ抽出経験3年以上,尚可条件：上流工程（要件定義）経験,正社員,153-4
Webエンジニア,松本情報株式会社,年収776万〜1013万円（年俸制）,仕事内容：Webエンジニアに関する業務全般。,応募資格：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）,尚可条件：Python実務経験,正社員,29-2
セキュリティエンジニア,中村建設株式会社,月給40万〜53万円+賞与年2回（予定年収484万〜635万円）,職務内容：セキュリティエンジニアに関する業務全般。,応募資格：実務経験3年以上,尚可条件：SQL実務経験、チームでの開発経験,正社員,neg-6-0
Corporate SRE,高橋鉱業株式会社,月給63万円（賞与なし）,職務内容：Corporate SREに関する業務全般。,応募資格：実務経験5年以上+チームリード経験,歓迎要件：チームでの開発経験、Python実務経験,正社員,23-0
バックエンドエンジニア,伊藤電気株式会社,月給41万円（賞与なし）,職務内容：バックエンドエンジニアに関する業務全般。,応募資格：SQL・データ抽出経験3年以上／実務経験5年以上+チームリード経験,求める経験・スキル：上流工程（要件定義）経験、チームでの開発経験,正社員,72-0
QAエンジニア,伊藤通信有限会社,月給42万〜56万円+賞与年2回（予定年収507万〜678万円）,仕事内容：QAエンジニアに関する業務全般。,必須要件：SQL・データ抽出経験3年以上,求める経験・スキル：AWSまたはGCP実務経験、上流工程（要件定義）経験、SQL実務経験,正社員,5-0
バックエンドエンジニア,合同会社中村保険,月給31万〜46万円+賞与年2回（予定年収371万〜551万円）,仕事内容：バックエンドエンジニアに関する業務全般。,必須要件：何らかの開発言語での実務経験1年以上歓迎,求める経験・スキル：上流工程（要件定義）経験、チームでの開発経験,正社員,19-1
フロントエンドエンジニア,前田運輸有限会社,月給43万〜60万円+賞与年2回（予定年収518万〜717万円）,職務内容：フロントエンドエンジニアに関する業務全般。,応募資格：SQL・データ抽出経験3年以上／実務経験5年以上+チームリード経験,求める経験・スキル：Python実務経験、SQL実務経験、チームでの開発経験、上流工程（要件定義）経験,正社員,131-0
SRE,福田建設合同会社,月給40万円（賞与なし）,仕事内容：SREに関する業務全般。,応募資格：SQL・データ抽出経験3年以上,尚可条件：チームでの開発経験、Python実務経験,正社員,71-0
機械学習エンジニア,渡辺電気有限会社,月給65万〜81万円+賞与年2回（予定年収778万〜974万円）,仕事内容：機械学習エンジニアに関する業務全般。,必須要件：実務経験5年以上+チームリード経験,尚可条件：チームでの開発経験、SQL実務経験,正社員,148-0
業務系SE,伊藤建設合同会社,月給27万〜46万円+賞与年2回（予定年収328万〜549万円）,職務内容：業務系SEに関する業務全般。,応募資格：実務経験1年以上,尚可条件：上流工程（要件定義）経験,正社員,38-2
社内SE,山口運輸有限会社,年収502万〜687万円（年俸制）,職務内容：社内SEに関する業務全般。,必須要件：実務経験3年以上,尚可条件：Python実務経験、AWSまたはGCP実務経験、上流工程（要件定義）経験,正社員,110-3
品質管理,合同会社橋本ガス,年収373万〜543万円（年俸制）,職務内容：品質管理に関する業務全般。,応募資格：何らかの開発言語での実務経験1年以上歓迎,求める経験・スキル：AWSまたはGCP実務経験、Python実務経験、SQL実務経験,正社員,122-1
セキュリティエンジニア,村上情報有限会社,月給31万円（賞与なし）,仕事内容：セキュリティエンジニアに関する業務全般。,必須要件：何らかの開発言語での実務経験1年以上歓迎,尚可条件：SQL実務経験,正社員,129-2
業務系SE,伊藤建設合同会社,年収328万〜549万円（年俸制）,職務内容：業務系SEに関する業務全般。,応募資格：実務経験1年以上,歓迎要件：上流工程（要件定義）経験、Python実務経験,正社員,38-4
QAエンジニア,合同会社佐藤印刷,月給31万〜43万円+賞与年2回（予定年収375万〜516万円）,仕事内容：QAエンジニアに関する業務全般。,応募資格：何らかの開発言語での実務経験1年以上歓迎,尚可条件：Python実務経験、SQL実務経験、チームでの開発経験,正社員,87-0
テストエンジニア,林電気有限会社,月給61万円（賞与なし）,仕事内容：テストエンジニアに関する業務全般。,必須要件：実務経験5年以上+チームリード経験,求める経験・スキル：AWSまたはGCP実務経験、SQL実務経験,正社員,28-0
QAエンジニア,鈴木保険株式会社,月給43万〜62万円+賞与年2回（予定年収512万〜747万円）,職務内容：QAエンジニアに関する業務全般。,必須要件：実務経験3年以上,歓迎要件：Python実務経験、チームでの開発経験,正社員,118-2
