job_title,company_name,salary_range_text,description_text,requirements_text,preferred_text,employment_type,posting_id
業務系SE,伊藤建設合同会社,月給27万円（賞与なし）,仕事内容：業務系SEとしてご活躍いただきます。,応募資格：実務経験1年以上,歓迎要件：SQL実務経験、Python実務経験,正社員,38-3
テストエンジニア,三浦ガス合同会社,月給42万〜60万円+賞与年2回（予定年収504万〜723万円）,職務内容：テストエンジニアとしてご活躍いただきます。,必須要件：実務経験3年以上／実務経験5年以上+チームリード経験,歓迎要件：AWSまたはGCP実務経験、Python実務経験、チームでの開発経験、上流工程（要件定義）経験,正社員,128-1
品質管理,有限会社後藤電気,月給44万〜57万円+賞与年2回（予定年収522万〜680万円）,職務内容：品質管理としてご活躍いただきます。,応募資格：実務経験3年以上,求める経験・スキル：SQL実務経験、AWSまたはGCP実務経験、上流工程（要件定義）経験、Python実務経験,正社員,91-1
社内SE,株式会社山崎鉱業,月給65万〜78万円+賞与年2回（予定年収780万〜935万円）,仕事内容：社内SEとしてご活躍いただきます。,応募資格：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）,歓迎要件：SQL実務経験,正社員,145-2
テストエンジニア,藤原情報合同会社,月給28万〜41万円+賞与年2回（予定年収335万〜492万円）,仕事内容：テストエンジニアとしてご活躍いただきます。,応募資格：実務経験1年以上／SQL・データ抽出経験3年以上,求める経験・スキル：チームでの開発経験、SQL実務経験,正社員,42-1
クラウドエンジニア,藤田印刷株式会社,月給30万円（賞与なし）,職務内容：クラウドエンジニアとしてご活躍いただきます。,応募資格：何らかの開発言語での実務経験1年以上歓迎,尚可条件：SQL実務経験、上流工程（要件定義）経験、チームでの開発経験、Python実務経験,正社員,31-0
SRE,株式会社伊藤銀行,年収721万〜921万円（年俸制）,職務内容：SREとしてご活躍いただきます。,必須要件：実務経験5年以上+チームリード経験／SQL・データ抽出経験3年以上,求める経験・スキル：AWSまたはGCP実務経験、上流工程（要件定義）経験、SQL実務経験,正社員,135-0
AIエンジニア,山本電気有限会社,年収523万〜643万円（年俸制）,仕事内容：AIエンジニアとしてご活躍いただきます。,必須要件：SQL・データ抽出経験3年以上,歓迎要件：チームでの開発経験、SQL実務経験、AWSまたはGCP実務経験,正社員,140-4
データサイエンティスト,有限会社佐藤銀行,年収369万〜540万円（年俸制）,職務内容：データサイエンティストとしてご活躍いただきます。,必須要件：実務経験1年以上,尚可条件：Python実務経験、AWSまたはGCP実務経験、上流工程（要件定義）経験、SQL実務経験,正社員,93-1
ネットワークエンジニア,株式会社阿部電気,月給30万円（賞与なし）,仕事内容：ネットワークエンジニアとしてご活躍いただきます。,必須要件：何らかの開発言語での実務経験1年以上歓迎,求める経験・スキル：SQL実務経験、チームでの開発経験,正社員,99-3
品質管理,有限会社吉田運輸,年収498万〜711万円（年俸制）,職務内容：品質管理としてご活躍いただきます。,必須要件：SQL・データ抽出経験3年以上／大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）,尚可条件：SQL実務経験、Python実務経験、AWSまたはGCP実務経験、チームでの開発経験,正社員,108-1
ITアーキテクト,合同会社山崎情報,月給29万〜46万円+賞与年2回（予定年収349万〜546万円）,職務内容：ITアーキテクトとしてご活躍いただきます。,応募資格：実務経験1年以上,求める経験・スキル：SQL実務経験、上流工程（要件定義）経験,正社員,17-2
Corporate SRE,合同会社斎藤銀行,月給63万〜78万円+賞与年2回（予定年収761万〜930万円）,職務内容：Corporate SREとしてご活躍いただきます。,応募資格：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）／実務経験3年以上,歓迎要件：Python実務経験、チームでの開発経験,正社員,155-0
インフラエンジニア,有限会社渡辺保険,月給64万円（賞与なし）,仕事内容：インフラエンジニアとしてご活躍いただきます。,必須要件：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）,求める経験・スキル：Python実務経験、SQL実務経験,正社員,61-2
データエンジニア,合同会社吉田銀行,月給40万円（賞与なし）,職務内容：データエンジニアとしてご活躍いただきます。,応募資格：実務経験3年以上,尚可条件：チームでの開発経験,正社員,85-2
