company,description_blob,ref_id
株式会社伊藤印刷,"【SRE】株式会社伊藤印刷
仕事内容：SREとしてご活躍いただきます。
必須要件：何らかの開発言語での実務経験1年以上歓迎
尚可条件：チームでの開発経験、SQL実務経験、上流工程（要件定義）経験
給与：月給27万〜36万円+賞与年2回（予定年収320万〜438万円）　雇用形態：正社員",44-0
山田ガス合同会社,"【QAエンジニア】山田ガス合同会社
仕事内容：QAエンジニアとしてご活躍いただきます。
応募資格：実務経験1年以上
尚可条件：Python実務経験、上流工程（要件定義）経験
給与：月給30万円（賞与なし）　雇用形態：正社員",115-0
山口運輸有限会社,"【社内SE】山口運輸有限会社
職務内容：社内SEとしてご活躍いただきます。
必須要件：実務経験3年以上
歓迎要件：SQL実務経験、Python実務経験、上流工程（要件定義）経験
給与：月給42万円（賞与なし）　雇用形態：正社員",110-0
伊藤運輸合同会社,"【プリセールス】伊藤運輸合同会社
職務内容：プリセールスとしてご活躍いただきます。
応募資格：実務経験5年以上+チームリード経験
尚可条件：SQL実務経験、AWSまたはGCP実務経験、上流工程（要件定義）経験、Python実務経験
給与：月給61万円（賞与なし）　雇用形態：正社員",123-1
株式会社伊藤ガス,"【ITコンサルタント】株式会社伊藤ガス
仕事内容：ITコンサルタントとしてご活躍いただきます。
応募資格：SQL・データ抽出経験3年以上
求める経験・スキル：Python実務経験、AWSまたはGCP実務経験、上流工程（要件定義）経験、チームでの開発経験
給与：月給44万〜64万円+賞与年2回（予定年収523万〜763万円）　雇用形態：正社員",120-0
合同会社斎藤銀行,"【Corporate SRE】合同会社斎藤銀行
仕事内容：Corporate SREとしてご活躍いただきます。
必須要件：実務経験5年以上+チームリード経験
尚可条件：チームでの開発経験、Python実務経験、SQL実務経験、上流工程（要件定義）経験
給与：月給63万円（賞与なし）　雇用形態：正社員",155-3
有限会社田中保険,"【QAエンジニア】有限会社田中保険
仕事内容：QAエンジニアとしてご活躍いただきます。
応募資格：何らかの開発言語での実務経験1年以上歓迎／SQL・データ抽出経験3年以上
歓迎要件：SQL実務経験
給与：月給31万〜43万円+賞与年2回（予定年収375万〜516万円）　雇用形態：正社員",neg-8-0
藤原情報合同会社,"【テストエンジニア】藤原情報合同会社
職務内容：テストエンジニアとしてご活躍いただきます。
応募資格：何らかの開発言語での実務経験1年以上歓迎／SQL・データ抽出経験3年以上
尚可条件：AWSまたはGCP実務経験
給与：月給28万円（賞与なし）　雇用形態：正社員",42-0
渡辺農林有限会社,"【業務系SE】渡辺農林有限会社
職務内容：業務系SEとしてご活躍いただきます。
必須要件：実務経験5年以上+チームリード経験
歓迎要件：Python実務経験、チームでの開発経験
給与：年収763万〜913万円（年俸制）　雇用形態：正社員",100-2
株式会社橋本食品,"【フロントエンドエンジニア】株式会社橋本食品
職務内容：フロントエンドエンジニアとしてご活躍いただきます。
応募資格：SQL・データ抽出経験3年以上
尚可条件：上流工程（要件定義）経験、AWSまたはGCP実務経験
給与：月給40万〜59万円+賞与年2回（予定年収485万〜703万円）　雇用形態：正社員",158-0
伊藤鉱業合同会社,"【QAエンジニア】伊藤鉱業合同会社
職務内容：QAエンジニアとしてご活躍いただきます。
応募資格：何らかの開発言語での実務経験1年以上歓迎
求める経験・スキル：SQL実務経験、上流工程（要件定義）経験、チームでの開発経験
給与：年収326万〜536万円（年俸制）　雇用形態：正社員",49-0
株式会社阿部情報,"【SRE】株式会社阿部情報
仕事内容：SREとしてご活躍いただきます。
応募資格：実務経験5年以上+チームリード経験
歓迎要件：チームでの開発経験、AWSまたはGCP実務経験、SQL実務経験
給与：年収764万〜915万円（年俸制）　雇用形態：正社員",40-1
有限会社高橋銀行,"【データエンジニア】有限会社高橋銀行
仕事内容：データエンジニアとしてご活躍いただきます。
必須要件：実務経験1年以上
求める経験・スキル：SQL実務経験、AWSまたはGCP実務経験
給与：月給31万〜45万円+賞与年2回（予定年収376万〜542万円）　雇用形態：正社員",95-0
合同会社吉田銀行,"【データエンジニア】合同会社吉田銀行
職務内容：データエンジニアとしてご活躍いただきます。
必須要件：SQL・データ抽出経験3年以上
求める経験・スキル：チームでの開発経験、AWSまたはGCP実務経験、Python実務経験
給与：月給40万〜54万円+賞与年2回（予定年収483万〜646万円）　雇用形態：正社員",85-1
松本情報株式会社,"【Webエンジニア】松本情報株式会社
仕事内容：Webエンジニアとしてご活躍いただきます。
応募資格：実務経験5年以上+チームリード経験
歓迎要件：Python実務経験、チームでの開発経験、上流工程（要件定義）経験
給与：月給65万円（賞与なし）　雇用形態：正社員",29-3
株式会社鈴木運輸,"【データエンジニア】株式会社鈴木運輸
職務内容：データエンジニアとしてご活躍いただきます。
応募資格：実務経験5年以上+チームリード経験
求める経験・スキル：AWSまたはGCP実務経験、Python実務経験、チームでの開発経験、SQL実務経験
給与：年収735万〜906万円（年俸制）　雇用形態：正社員",46-2
青木建設有限会社,"【情報システム】青木建設有限会社
職務内容：情報システムとしてご活躍いただきます。
必須要件：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）／実務経験3年以上
尚可条件：Python実務経験、SQL実務経験
給与：月給63万〜78万円+賞与年2回（予定年収756万〜933万円）　雇用形態：正社員",106-3
株式会社遠藤保険,"【インフラエンジニア】株式会社遠藤保険
職務内容：インフラエンジニアとしてご活躍いただきます。
応募資格：実務経験5年以上+チームリード経験
求める経験・スキル：Python実務経験、チームでの開発経験、SQL実務経験
給与：月給61万円（賞与なし）　雇用形態：正社員",92-0
山本保険株式会社,"【セキュリティエンジニア】山本保険株式会社
仕事内容：セキュリティエンジニアとしてご活躍いただきます。
応募資格：実務経験3年以上
尚可条件：チームでの開発経験、SQL実務経験、AWSまたはGCP実務経験、Python実務経験
給与：月給44万〜64万円+賞与年2回（予定年収527万〜774万円）　雇用形態：正社員",98-2
有限会社清水通信,"【業務系SE】有限会社清水通信
仕事内容：業務系SEとしてご活躍いただきます。
応募資格：実務経験3年以上
尚可条件：チームでの開発経験、Python実務経験
給与：年収529万〜655万円（年俸制）　雇用形態：正社員",74-3
合同会社佐藤印刷,"【QAエンジニア】合同会社佐藤印刷
職務内容：QAエンジニアとしてご活躍いただきます。
必須要件：何らかの開発言語での実務経験1年以上歓迎
求める経験・スキル：上流工程（要件定義）経験、チームでの開発経験、Python実務経験
給与：年収375万〜516万円（年俸制）　雇用形態：正社員",87-1
株式会社伊藤銀行,"【SRE】株式会社伊藤銀行
仕事内容：SREとしてご活躍いただきます。
応募資格：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）
尚可条件：上流工程（要件定義）経験、AWSまたはGCP実務経験、チームでの開発経験
給与：月給60万〜77万円+賞与年2回（予定年収721万〜921万円）　雇用形態：正社員",135-1
有限会社林運輸,"【ITアーキテクト】有限会社林運輸
仕事内容：ITアーキテクトとしてご活躍いただきます。
応募資格：実務経験1年以上
尚可条件：SQL実務経験、チームでの開発経験
給与：年収328万〜549万円（年俸制）　雇用形態：正社員",144-1
有限会社加藤運輸,"【QAエンジニア】有限会社加藤運輸
仕事内容：QAエンジニアとしてご活躍いただきます。
応募資格：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）
尚可条件：上流工程（要件定義）経験、AWSまたはGCP実務経験
給与：月給65万〜83万円+賞与年2回（予定年収775万〜996万円）　雇用形態：正社員",121-1
株式会社伊藤印刷,"【SRE】株式会社伊藤印刷
職務内容：SREとしてご活躍いただきます。
応募資格：何らかの開発言語での実務経験1年以上歓迎
求める経験・スキル：チームでの開発経験、AWSまたはGCP実務経験
給与：月給27万〜36万円+賞与年2回（予定年収320万〜438万円）　雇用形態：正社員",44-1
有限会社斉藤保険,"【SRE】有限会社斉藤保険
仕事内容：SREとしてご活躍いただきます。
応募資格：実務経験1年以上
歓迎要件：SQL実務経験、AWSまたはGCP実務経験、上流工程（要件定義）経験
給与：年収325万〜549万円（年俸制）　雇用形態：正社員",37-0
鈴木建設有限会社,"【ヘルプデスク】鈴木建設有限会社
職務内容：ヘルプデスクとしてご活躍いただきます。
応募資格：何らかの開発言語での実務経験1年以上歓迎
歓迎要件：上流工程（要件定義）経験、Python実務経験、AWSまたはGCP実務経験
給与：月給31万〜49万円+賞与年2回（予定年収370万〜591万円）　雇用形態：正社員",48-2
高橋鉱業株式会社,"【Corporate SRE】高橋鉱業株式会社
職務内容：Corporate SREとしてご活躍いただきます。
必須要件：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）
求める経験・スキル：Python実務経験、上流工程（要件定義）経験、チームでの開発経験、SQL実務経験
給与：年収754万〜921万円（年俸制）　雇用形態：正社員",23-1
木村農林株式会社,"【社内SE】木村農林株式会社
仕事内容：社内SEとしてご活躍いただきます。
必須要件：実務経験3年以上／実務経験5年以上+チームリード経験
求める経験・スキル：チームでの開発経験、上流工程（要件定義）経験
給与：年収519万〜762万円（年俸制）　雇用形態：正社員",86-2
有限会社遠藤ガス,"【SRE】有限会社遠藤ガス
仕事内容：SREとしてご活躍いただきます。
応募資格：実務経験3年以上
尚可条件：チームでの開発経験、AWSまたはGCP実務経験、SQL実務経験
給与：月給39万〜50万円+賞与年2回（予定年収472万〜599万円）　雇用形態：正社員",96-1
森通信株式会社,"【アプリケーションエンジニア】森通信株式会社
職務内容：アプリケーションエンジニアとしてご活躍いただきます。
応募資格：SQL・データ抽出経験3年以上
求める経験・スキル：AWSまたはGCP実務経験、SQL実務経験
給与：月給40万〜57万円+賞与年2回（予定年収476万〜686万円）　雇用形態：正社員",153-1
青木鉱業有限会社,"【ヘルプデスク】青木鉱業有限会社
仕事内容：ヘルプデスクとしてご活躍いただきます。
必須要件：実務経験1年以上
尚可条件：上流工程（要件定義）経験、SQL実務経験、AWSまたはGCP実務経験
給与：年収332万〜507万円（年俸制）　雇用形態：正社員",60-1
渡辺水産株式会社,"【ソリューションアーキテクト】渡辺水産株式会社
職務内容：ソリューションアーキテクトとしてご活躍いただきます。
必須要件：何らかの開発言語での実務経験1年以上歓迎
歓迎要件：SQL実務経験、Python実務経験、チームでの開発経験
給与：月給27万円（賞与なし）　雇用形態：正社員",82-1
吉田情報有限会社,"【フロントエンドエンジニア】吉田情報有限会社
職務内容：フロントエンドエンジニアとしてご活躍いただきます。
応募資格：何らかの開発言語での実務経験1年以上歓迎
尚可条件：上流工程（要件定義）経験、チームでの開発経験、Python実務経験
給与：月給30万円（賞与なし）　雇用形態：正社員",43-3
合同会社石川水産,"【インフラエンジニア】合同会社石川水産
職務内容：インフラエンジニアとしてご活躍いただきます。
必須要件：実務経験5年以上+チームリード経験
尚可条件：AWSまたはGCP実務経験
給与：月給60万〜74万円+賞与年2回（予定年収724万〜884万円）　雇用形態：正社員",64-1
森情報合同会社,"【情報システム】森情報合同会社
職務内容：情報システムとしてご活躍いただきます。
応募資格：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）
歓迎要件：AWSまたはGCP実務経験、上流工程（要件定義）経験、SQL実務経験
給与：月給61万円（賞与なし）　雇用形態：正社員",127-3
鈴木建設有限会社,"【ヘルプデスク】鈴木建設有限会社
職務内容：ヘルプデスクとしてご活躍いただきます。
必須要件：何らかの開発言語での実務経験1年以上歓迎
尚可条件：SQL実務経験
給与：月給31万円（賞与なし）　雇用形態：正社員",48-0
合同会社石井ガス,"【セキュリティエンジニア】合同会社石井ガス
職務内容：セキュリティエンジニアとしてご活躍いただきます。
応募資格：大規模データ基盤の実務経験5年以上相当（テックリード経験歓迎）
求める経験・スキル：チームでの開発経験、AWSまたはGCP実務経験、SQL実務経験、Python実務経験
給与：月給62万円（賞与なし）　雇用形態：正社員",130-0
伊藤通信有限会社,"【QAエンジニア】伊藤通信有限会社
仕事内容：QAエンジニアとしてご活躍いただきます。
応募資格：SQL・データ抽出経験3年以上
尚可条件：Python実務経験、上流工程（要件定義）経験、AWSまたはGCP実務経験、チームでの開発経験
給与：月給42万〜56万円+賞与年2回（予定年収507万〜678万円）　雇用形態：正社員",5-4
田中ガス有限会社,"【テストエンジニア】田中ガス有限会社
職務内容：テストエンジニアとしてご活躍いただきます。
応募資格：実務経験1年以上
尚可条件：AWSまたはGCP実務経験、SQL実務経験、Python実務経験
給与：月給28万円（賞与なし）　雇用形態：正社員",22-2
伊藤建設株式会社,"【ITコンサルタント】伊藤建設株式会社
職務内容：ITコンサルタントとしてご活躍いただきます。
必須要件：SQL・データ抽出経験3年以上
求める経験・スキル：AWSまたはGCP実務経験
給与：月給44万〜62万円+賞与年2回（予定年収530万〜743万円）　雇用形態：正社員",119-1
斎藤保険株式会社,"【機械学習エンジニア】斎藤保険株式会社
仕事内容：機械学習エンジニアとしてご活躍いただきます。
応募資格：実務経験3年以上
求める経験・スキル：上流工程（要件定義）経験、チームでの開発経験
給与：月給43万〜53万円+賞与年2回（予定年収521万〜632万円）　雇用形態：正社員",9-3
合同会社後藤印刷,"【ITコンサルタント】合同会社後藤印刷
職務内容：ITコンサルタントとしてご活躍いただきます。
応募資格：実務経験5年以上+チームリード経験
求める経験・スキル：上流工程（要件定義）経験
給与：年収744万〜930万円（年俸制）　雇用形態：正社員",159-0
合同会社山崎情報,"【ITアーキテクト】合同会社山崎情報
職務内容：ITアーキテクトとしてご活躍いただきます。
必須要件：何らかの開発言語での実務経験1年以上歓迎
尚可条件：SQL実務経験、AWSまたはGCP実務経験、Python実務経験
給与：月給29万〜46万円+賞与年2回（予定年収349万〜546万円）　雇用形態：正社員",17-1
株式会社林印刷,"【AIエンジニア】株式会社林印刷
職務内容：AIエンジニアとしてご活躍いただきます。
応募資格：実務経験5年以上+チームリード経験
歓迎要件：SQL実務経験、AWSまたはGCP実務経験、Python実務経験、チームでの開発経験
給与：月給62万円（賞与なし）　雇用形態：正社員",104-2
松本電気株式会社,"【ヘルプデスク】松本電気株式会社
仕事内容：ヘルプデスクとしてご活躍いただきます。
応募資格：実務経験5年以上+チームリード経験
求める経験・スキル：SQL実務経験、チームでの開発経験、上流工程（要件定義）経験、AWSまたはGCP実務経験
給与：年収727万〜923万円（年俸制）　雇用形態：正社員",10-0
中村ガス有限会社,"【ヘルプデスク】中村ガス有限会社
仕事内容：ヘルプデスクとしてご活躍いただきます。
必須要件：実務経験1年以上／実務経験3年以上
歓迎要件：チームでの開発経験、上流工程（要件定義）経験
給与：月給31万〜49万円+賞与年2回（予定年収375万〜593万円）　雇用形態：正社員",137-2
株式会社阿部電気,"【ネットワークエンジニア】株式会社阿部電気
仕事内容：ネットワークエンジニアとしてご活躍いただきます。
必須要件：何らかの開発言語での実務経験1年以上歓迎
求める経験・スキル：SQL実務経験、Python実務経験
給与：月給30万〜48万円+賞与年2回（予定年収365万〜576万円）　雇用形態：正社員",99-0
有限会社高橋食品,"【クラウドエンジニア】有限会社高橋食品
職務内容：クラウドエンジニアとしてご活躍いただきます。
必須要件：実務経験1年以上
尚可条件：チームでの開発経験、AWSまたはGCP実務経験、上流工程（要件定義）経験
給与：年収331万〜516万円（年俸制）　雇用形態：正社員",88-1
有限会社遠藤ガス,"【SRE】有限会社遠藤ガス
仕事内容：SREとしてご活躍いただきます。
必須要件：実務経験3年以上
求める経験・スキル：Python実務経験、SQL実務経験、上流工程（要件定義）経験
給与：月給39万〜50万円+賞与年2回（予定年収472万〜599万円）　雇用形態：正社員",96-0
佐藤通信有限会社,"【セキュリティエンジニア】佐藤通信有限会社
職務内容：セキュリティエンジニアとしてご活躍いただきます。
応募資格：実務経験5年以上+チームリード経験
歓迎要件：SQL実務経験、上流工程（要件定義）経験
給与：月給61万〜82万円+賞与年2回（予定年収735万〜983万円）　雇用形態：正社員",65-1
